id,type,value,date,notes,imageType
76,expense,18.16,08/30/22,2 Gal Sprayer,none
77,expense,10.97,08/31/22,Ice,none
78,expense,9.05,08/29/22,Ice,none
79,expense,215.8,08/30/22,60lb Sakpete Weather Patch,none
80,expense,164.7,08/30/22,Rent Concrete Saw,none
81,expense,98,09/06/22,Hotel,none
505,deposit,1500,09/07/22,Deposit,none
82,expense,99.93,09/12/22,Gas,none
83,expense,152.85,01/01/23,Hard Hats & Tarp & LED Trail,none
84,expense,113,09/09/22,Hotel,none
85,expense,75.5,09/09/22,Printing Services,none
86,expense,203.3,09/08/22,Trailer Tire,none
87,expense,319.93,09/08/22,Tools,none
88,expense,223.89,09/08/22,Wood Trailer,none
89,expense,13.33,09/08/22,Saw Blade,none
90,expense,100,09/09/22,Gas,none
91,expense,42.16,09/09/22,Printing Services,none
92,expense,209.02,09/08/22,Vermeer Oil Filter,none
506,deposit,2000,09/18/22,Deposit,none
507,deposit,2000,09/19/22,Deposit,none
93,expense,100,09/12/22,Hotel,none
94,expense,86,09/20/22,Hotel,none
95,expense,100,01/01/23,Gas,none
96,expense,99,09/22/22,Hotel,none
97,expense,144,09/26/22,Hotel,none
98,expense,80,09/14/22,Hotel,none
99,expense,122.87,09/29/22,UPS Shipping,none
100,expense,49.54,09/27/22,Gas,none
101,expense,88.63,09/26/22,Printing Services,none
102,expense,876.13,09/27/22,Tires,none
103,expense,117.1,01/01/23,Gas,none
104,expense,30.29,09/26/22,Gas,none
105,expense,12.82,09/13/22,Brass Key & Ice,none
106,expense,132.9,09/16/22,Gas,none
107,expense,300,09/16/22,Tires,none
108,expense,71.31,09/13/22,Gas,none
109,expense,13.64,09/14/22,Printing Services,none
110,expense,11.91,09/15/22,Printing Services,none
111,expense,223.72,09/13/22,Oil Change,none
112,expense,89.91,09/18/22,Gas,none
113,expense,57.6,09/16/22,Printing Services,none
114,expense,72.08,09/18/22,Gas,none
115,expense,109.66,09/22/22,Gas,none
116,expense,200,09/18/22,Gas,none
117,expense,42.27,09/19/22,Ratchet Strap,none
118,expense,19.24,09/18/22,Tellico 22 In Wiper,none
119,expense,91.56,09/18/22,Gas,none
120,expense,100,09/21/22,Gas,none
121,expense,100,09/19/22,Gas,none
122,expense,16.26,09/21/22,Gas,none
123,expense,125,09/20/22,Gas,none
124,expense,101.93,09/15/22,Gas,none
125,expense,11.62,09/22/22,Ice & Water,none
126,expense,99.41,09/25/22,Gas,none
127,expense,112.34,10/04/22,Gas,none
128,expense,214,10/04/22,Hotel,none
129,expense,13.49,10/05/22,UPS Shipping,none
130,expense,112.95,10/06/22,Gas,none
131,expense,109,10/06/22,Hotel,none
132,expense,100,09/24/22,Payment for Trench (US 301 Future),none
508,deposit,2000,10/06/22,Deposit,none
133,expense,150.63,10/12/22,Marking Equipment,none
134,expense,111.56,10/10/22,Gas,none
135,expense,56.52,10/14/22,Printing Services,none
136,expense,119.34,10/12/22,Vermeer Parts,none
137,expense,63.12,10/11/22,20ft Booster Cables,none
138,expense,8.47,10/14/22,USPS Shipping,none
139,expense,124.9,10/12/22,Gas,none
140,expense,26.61,10/10/22,Gas,none
141,expense,72.15,10/13/22,Gas,none
142,expense,36.24,10/14/22,Printing Services,none
143,expense,111,10/12/22,Hotel,none
144,expense,193,10/10/22,Hotel,none
509,deposit,1500,10/18/22,Deposit,none
145,expense,114.28,10/07/22,MOT Rental,none
146,expense,7.25,10/20/22,Hose Clamps,none
147,expense,63.08,10/20/22,Antifreeze / Coolant,none
148,expense,125,10/21/22,Gas,none
149,expense,100,10/19/22,Gas,none
150,expense,89.07,10/20/22,Gas,none
151,expense,10.68,10/20/22,Heater Hose Connection,none
